Date,Close,Open,High,Low,Volume,Change
2021-06-09,127.13,127.21,127.75,126.52,56880000.0,0.0031
2021-06-10,126.11,127.02,128.19,125.94,71190000.0,-0.008
2021-06-11,127.35,126.53,127.44,126.1,53520000.0,0.0098
2021-06-14,130.48,127.82,130.54,127.07,96910000.0,0.0246
2021-06-15,129.64,129.94,130.6,129.39,62750000.0,-0.0064
2021-06-16,130.15,130.37,130.89,128.46,91820000.0,0.0039000000000000003
2021-06-17,131.79,129.8,132.55,129.65,96720000.0,0.0126
2021-06-18,130.46,130.71,131.51,130.24,108950000.0,-0.0101
2021-06-21,132.3,130.3,132.41,129.21,79660000.0,0.0141
2021-06-22,133.98,132.13,134.08,131.62,74780000.0,0.0127
2021-06-23,133.7,133.77,134.32,133.23,60210000.0,-0.0021
2021-06-24,133.41,134.45,134.64,132.93,68710000.0,-0.0022
2021-06-25,133.11,133.46,133.89,132.81,70780000.0,-0.0022
2021-06-28,134.78,133.41,135.25,133.35,62110000.0,0.0125
2021-06-29,136.33,134.8,136.49,134.35,64560000.0,0.0115
2021-06-30,136.96,136.17,137.41,135.87,63260000.0,0.0046
2021-07-01,137.27,136.6,137.33,135.76,52490000.0,0.0023
2021-07-02,139.96,137.9,140.0,137.75,78950000.0,0.0196
2021-07-06,142.02,140.07,143.15,140.07,108180000.0,0.0147
2021-07-07,144.57,143.53,144.89,142.66,104910000.0,0.018000000000000002
2021-07-08,143.24,141.58,144.06,140.66,105580000.0,-0.0092
2021-07-09,145.11,142.75,145.65,142.65,99890000.0,0.0131
2021-07-12,144.5,146.21,146.32,144.0,76300000.0,-0.0042
2021-07-13,145.64,144.03,147.46,143.63,100830000.0,0.0079
2021-07-14,149.15,148.1,149.57,147.68,127050000.0,0.0241
2021-07-15,148.48,149.24,150.0,147.09,106820000.0,-0.0045000000000000005
2021-07-16,146.39,148.46,149.76,145.88,93250000.0,-0.0141
2021-07-19,142.45,143.75,144.07,141.67,121430000.0,-0.0269
2021-07-20,146.15,143.46,147.1,142.96,96350000.0,0.026000000000000002
2021-07-21,145.4,145.53,146.13,144.63,74990000.0,-0.0051
